
2024/02/05 (10:47:35) | ===> btop++ v.1.3.0
2024/02/05 (10:47:35) | INFO: Logger set to DEBUG
2024/02/05 (10:47:35) | DEBUG: Using locale en_US.UTF-8
2024/02/05 (10:47:35) | INFO: Running on /dev/pts/0
2024/02/05 (10:47:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/02/05 (10:47:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/02/05 (10:47:35) | DEBUG: Shared::init() : Initialized.

2024/02/07 (13:23:51) | ===> btop++ v.1.2.13
2024/02/07 (13:23:51) | INFO: Logger set to DEBUG
2024/02/07 (13:23:51) | DEBUG: Using locale en_US.UTF-8
2024/02/07 (13:23:51) | INFO: Running on /dev/pts/0

2024/02/07 (13:45:00) | ===> btop++ v.1.2.13
2024/02/07 (13:45:00) | INFO: Logger set to DEBUG
2024/02/07 (13:45:00) | DEBUG: Using locale en_US.UTF-8
2024/02/07 (13:45:00) | INFO: Running on /dev/pts/0

2024/02/07 (17:13:03) | ===> btop++ v.1.2.13
2024/02/07 (17:13:03) | INFO: Logger set to DEBUG
2024/02/07 (17:13:03) | DEBUG: Using locale en_US.UTF-8
2024/02/07 (17:13:03) | INFO: Running on /dev/pts/0

2024/02/07 (17:36:12) | ===> btop++ v.1.2.13
2024/02/07 (17:36:12) | INFO: Logger set to DEBUG
2024/02/07 (17:36:12) | DEBUG: Using locale en_US.UTF-8
2024/02/07 (17:36:12) | INFO: Running on /dev/pts/0

2024/02/07 (17:38:34) | ===> btop++ v.1.2.13
2024/02/07 (17:38:34) | INFO: Logger set to DEBUG
2024/02/07 (17:38:34) | DEBUG: Using locale en_US.UTF-8
2024/02/07 (17:38:34) | INFO: Running on /dev/pts/0

2024/02/07 (18:37:46) | ===> btop++ v.1.2.13
2024/02/07 (18:37:46) | INFO: Logger set to DEBUG
2024/02/07 (18:37:46) | DEBUG: Using locale en_US.UTF-8
2024/02/07 (18:37:46) | INFO: Running on /dev/pts/0
